repo_id,render_url,url_found_in_readme
01_moanv2_1-mlops-kickoff-repo,https://one-mlops-kickoff-repo.onrender.com,0
02_mohammedeia_1-mlops-kickoff-repo,https://voyageiq-api.onrender.com,1
03_cesargrobles_iris-mlops,https://iris-mlops.onrender.com,1
04_iceman-git_1-mlops-kickoff-repo,https://mlops-titanic-api.onrender.com,0
05_ricardo-lievano-pedroza_1-mlops-kickoff-repo,https://madrid-rentals-prediction.onrender.com,1
06_rayanmazari90_1-mlops-kickoff-repo,https://one-mlops-kickoff-repo-1.onrender.com,1
07_cmiebach_1-mlops-kickoff-repo,https://one-mlops-kickoff-repo-9m2q.onrender.com,1
08_JJR9903_1-mlops-kickoff-repo,https://mlops-group4-s2.onrender.com,0
10_Navenkumar-Balasubramaniam_F1-LapTime-Prediction,https://f1-laptime-prediction-n9qv.onrender.com,1
11_npbeard_mlops-group8,https://mlops-group8-1.onrender.com,1
12_vik01_mlops-full,https://mlops-full.onrender.com,1
13_edendia_Group5_Fork,https://nhl-points-api.onrender.com,1
14_jclujan_my-project1-mlops,https://my-project1-mlops.onrender.com,1
15_sebog99_group6-mlops-kickoff-repo,https://group6-mlops-kickoff-repo.onrender.com/docs#/default/predict_predict_post,0
16_robsrot_G2_MLOPS_Project,https://g2-mlops-project.onrender.com,1
17_marcosinaniz-ai_mlops_group_1,https://mlops-group-1.onrender.com/,0
19_2026-IE-MLOps-Course_3-mlops-CICD,https://three-mlops-cicd.onrender.com,1
